’èíŒvŽZ‚É‚æ‚é•‰‰×‚ð”ñ’èíŒvŽZ‚É‚æ‚é•‰‰×‚ÉŠ·ŽZ‚·‚é‚½‚ß‚ÌŒW”ˆê——i‘Î”äŒW”ˆ——pExcelƒtƒ@ƒCƒ‹‚©‚çƒRƒs[j,,,,,,,,,,,,,,,,,,,2012.1.31 Œš’zŠÂ‹«ƒ\ƒŠƒ…[ƒVƒ‡ƒ“ƒY@‹{“‡,,,,,,,,,,
Ø•Ð‚Ì’PˆÊ‚Í[Wh/m2“ú],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Œš•¨—p“r,Žº—p“r,‘O“ú‹ó’²—L–³,ŠúŠÔ,ŠO—,•‰‰×Ží•Ê,,–kŒ©,,,ŠâŒ©‘ò,,,·‰ª,,,’·–ì,,,‰F“s‹{,,,‰ªŽR,,,‹{è,,,“ß”e,
ŠwZ“™,ƒpƒ\ƒRƒ“Žº,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,-0.09,-2,-2,0,0,0,0,0,0,-0.01,3,3,0.19,7,7,0.48,13,13,0.42,11,11,0.64,8,8
,,,,,’g–[•‰‰×,0.58,-53,-53,0.67,-28,-28,0.62,-32,-32,0.71,-12,-12,0.63,-21,-21,0.62,-21,-21,0.66,-19,-19,0.52,-13,-13
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.57,96,0,0.55,112,0,0.57,95,0,0.53,105,0,0.55,89,0,0.59,79,0,0.55,104,0,0.63,70,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,261,0,0,250,0,0,319,0,0,314,0,0,395,0,0,412,0,0,0,0.71,0,0
,,,,,’g–[•‰‰×,0.6,-171,-502,0.59,-161,-481,0.56,-182,-569,0.55,-183,-558,0.54,-164,-609,0.58,-125,-588,0.52,-123,-123,0.58,-40,-40
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.64,97,0,0.57,125,0,0.53,146,0,0.51,169,0,0.52,193,0,0.61,119,0,0.54,163,0,0.54,93,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,409,0,0,0,0,0,257,0,0,499,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,’g–[•‰‰×,0.63,-81,-536,0.55,-97,-97,0.6,-97,-406,0.6,-83,-628,0.63,-58,-58,0.6,-63,-63,0.61,-68,-68,0.59,-31,-31
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.63,81,0,0.52,126,0,0.53,128,0,0.55,127,0,0.59,117,0,0.61,106,0,0.58,134,0,0.57,104,0
,,‘O“ú‹x‚Ý,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,0,0,0,0,0,0,0,0.09,6,6,0,1,1,0.1,48,48,0.5,20,20,0.81,15,15
,,,,,’g–[•‰‰×,0.89,-70,-70,0.84,-68,-68,1,-43,-43,1.01,-21,-21,0.92,-26,-26,0.94,-32,-32,0.91,-40,-40,0.68,-31,-31
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.73,191,0,0.57,262,0,0.66,176,0,0.73,193,0,0.68,157,0,0.78,171,0,0.75,191,0,0.85,136,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,208,0,0,228,0,0,291,0,0,270,0,0,475,0,0,436,0,0,418,0,0,0
,,,,,’g–[•‰‰×,0.85,-282,-647,0.76,-296,-676,0.69,-339,-776,0.68,-345,-757,0.68,-321,-912,0.7,-234,-794,0.68,-208,-733,0.62,-101,-101
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.72,284,0,0.8,183,0,0.65,257,0,0.66,281,0,0.65,377,0,0.71,197,0,0.59,307,0,0.6,168,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,247,0,0,419,0,0,418,0,0,345,0,0,313,0,0,516,0,0,519,0,0,0
,,,,,’g–[•‰‰×,0.75,-189,-567,0.79,-178,-717,0.7,-225,-768,0.78,-184,-647,0.76,-151,-573,0.77,-134,-753,0.77,-136,-751,0.83,-41,-41
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.88,122,,0.7,214,,0.59,243,,0.58,277,,0.62,265,,0.74,207,,0.77,225,,0.64,185,
ŠwZ“™,u“°,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,92,0,0,130,0,0,110,0.02,2,119,0.07,5,134,0.36,12,15,0.33,9,180,0.51,9,15
,,,,,’g–[•‰‰×,0.44,-57,-163,0.52,-33,-171,0.48,-34,-152,0.58,-12,-136,0.5,-21,-154,0.5,-20,-20,0.53,-19,-163,0.39,-13,-13
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.45,101,,0.44,112,,0.45,96,,0.42,105,,0.44,90,,0.46,84,,0.44,104,,0.5,77,
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,41,0,0,43,0,0,44,0,0,64,0,0,93,0,0,76,0,0,124,0.35,-1,206
,,,,,’g–[•‰‰×,0.45,-191,-273,0.44,-182,-265,0.4,-204,-285,0.39,-203,-299,0.39,-183,-298,0.42,-144,-242,0.38,-132,-271,0.43,-44,-202
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.53,100,,0.47,122,,0.44,141,,0.41,164,,0.42,189,,0.49,121,,0.43,161,,0.43,93,
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,86,0,0,81,0,0,67,0,0,92,0,0,93,0,0,130,0,0,112,0,0,181
,,,,,’g–[•‰‰×,0.48,-92,-198,0.41,-108,-210,0.45,-108,-200,0.46,-93,-204,0.49,-66,-172,0.46,-67,-207,0.46,-77,-200,0.44,-34,-218
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.51,87,,0.4,126,,0.42,127,,0.45,125,,0.48,116,,0.48,111,,0.48,132,,0.45,107,
,,‘O“ú‹x‚Ý,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,165,0,0,140,0,0,138,1.5,-7,267,0,1,103,0.06,37,37,0.38,14,228,0.59,13,13
,,,,,’g–[•‰‰×,0.62,-66,-253,0.6,-59,-223,0.71,-40,-201,0.73,-20,-141,0.67,-22,-144,0.67,-26,-26,0.64,-36,-229,0.49,-25,-25
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.55,156,,0.44,205,,0.49,144,,0.55,155,,0.5,129,,0.56,144,,0.55,155,,0.63,116,
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,37,0,0,42,0,0,45,0,0,48,0,0,138,0,0,98,0,0,132,0,0,178
,,,,,’g–[•‰‰×,0.59,-258,-361,0.52,-266,-371,0.46,-302,-403,0.45,-304,-406,0.46,-280,-451,0.47,-209,-346,0.47,-181,-341,0.43,-83,-286
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.56,222,,0.62,150,,0.5,208,,0.51,225,,0.51,297,,0.54,162,,0.45,250,,0.45,141,
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,88,0,0,97,0,0,74,0,0,106,0,0,108,0,0,114,0,0,133,0,0,220
,,,,,’g–[•‰‰×,0.52,-161,-291,0.53,-159,-291,0.48,-195,-310,0.55,-158,-299,0.54,-128,-265,0.53,-116,-254,0.55,-118,-273,0.59,-37,-270
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.65,107,,0.52,177,,0.45,195,,0.45,219,,0.49,210,,0.57,167,,0.59,181,,0.48,155,
ˆùH“X“™,‹qÈ‚”­”M,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,-0.19,0,37,0,0,92,-0.02,0,88,0.12,7,113,0.46,13,149,0.68,11,149,0.57,12,170,0.77,5,144
,,,,,’g–[•‰‰×,0.73,-22,-22,0.74,-17,-17,0.74,-12,-12,0.77,-6,-6,0.75,-8,-8,0.7,-10,-10,0.75,-7,-7,0.71,-6,-6
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.69,52,0,0.65,76,0,0.65,64,0,0.65,67,0,0.65,59,0,0.71,41,0,0.67,68,0,0.73,37,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,269,0,0,290,0,0,336,0,0,371,0,0,528,0,0,75,0,0,85,-0.69,7,7
,,,,,’g–[•‰‰×,0.73,-81,-287,0.73,-78,-302,0.71,-85,-364,0.71,-83,-390,0.7,-75,-524,0.71,-61,-61,0.71,-49,-49,0.71,-20,-20
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.71,58,0,0.67,76,0,0.64,90,0,0.63,105,0,0.66,116,0,0.71,62,0,0.66,101,0,0.7,44,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,77,0,0,78,0,0,419,0,0,79,0,0,85,0,0,90,0,0,89,-0.01,0,97
,,,,,’g–[•‰‰×,0.73,-42,-42,0.71,-46,-46,0.72,-47,-393,0.73,-40,-40,0.74,-29,-29,0.73,-26,-26,0.73,-36,-36,0.73,-13,-13
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.71,48,0,0.64,78,0,0.63,85,0,0.64,86,0,0.66,82,0,0.7,58,0,0.67,96,0,0.72,47,0
ˆùH“X“™,‹qÈ’á”­”M,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,-0.19,0,173,0,0,288,-0.02,0,296,0.12,7,255,0.46,13,88,0.68,11,90,0.57,12,103,0.77,5,82
,,,,,’g–[•‰‰×,0.73,-22,-212,0.74,-17,-266,0.74,-12,-274,0.77,-6,-202,0.75,-8,-8,0.7,-10,-10,0.75,-7,-7,0.71,-6,-6
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.69,52,0,0.65,76,0,0.65,64,0,0.65,67,0,0.65,59,0,0.71,41,0,0.67,68,0,0.73,37,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,108,0,0,111,0,0,123,0,0,136,0,0,188,0,0,172,0,0,210,-0.69,7,7
,,,,,’g–[•‰‰×,0.73,-81,-184,0.73,-78,-181,0.71,-85,-204,0.71,-83,-209,0.7,-75,-239,0.71,-61,-212,0.71,-49,-228,0.71,-20,-20
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.71,58,0,0.67,76,0,0.64,90,0,0.63,105,0,0.66,116,0,0.71,62,0,0.66,101,0,0.7,44,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,154,0,0,198,0,0,166,0,0,190,0,0,151,0,0,231,0,0,194,-0.01,0,43
,,,,,’g–[•‰‰×,0.73,-42,-173,0.71,-46,-218,0.72,-47,-194,0.73,-40,-204,0.74,-29,-149,0.73,-26,-220,0.73,-36,-195,0.73,-13,-13
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.71,48,0,0.64,78,0,0.63,85,0,0.64,86,0,0.66,82,0,0.7,58,0,0.67,96,0,0.72,47,0
ˆùH“X“™,‹i’ƒŽº,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0.06,6,433,0,0,500,-0.02,1,500,0.13,10,94,0.41,16,122,0.64,15,127,0.54,15,143,0.77,7,119
,,,,,’g–[•‰‰×,0.77,-21,-373,0.78,-15,-445,0.78,-11,-445,0.8,-8,-8,0.77,-11,-11,0.68,-18,-18,0.76,-13,-13,0.73,-8,-8
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.72,50,0,0.67,76,0,0.68,64,0,0.68,66,0,0.68,58,0,0.74,40,0,0.69,68,0,0.76,35,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,225,0,0,221,0,0,267,0,0,273,0,0,358,0,0,374,0,0,424,-0.16,8,45
,,,,,’g–[•‰‰×,0.77,-70,-259,0.77,-68,-250,0.76,-74,-306,0.75,-72,-305,0.75,-65,-367,0.76,-53,-375,0.76,-43,-404,0.75,-18,-18
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.74,57,0,0.69,77,0,0.66,92,0,0.65,107,0,0.68,117,0,0.73,62,0,0.67,103,0,0.71,46,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,263,0,0,369,0,0,329,0,0,382,0,0,281,0,0,436,0,0,357,-0.04,1,72
,,,,,’g–[•‰‰×,0.77,-38,-247,0.75,-41,-353,0.77,-42,-320,0.77,-35,-360,0.78,-26,-244,0.78,-23,-391,0.77,-32,-322,0.77,-13,-13
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.74,46,0,0.67,77,0,0.65,85,0,0.67,86,0,0.69,82,0,0.72,58,0,0.69,97,0,0.74,46,0
ˆùH“X“™,ƒo[,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,42,0,0,45,0,0,36,0.09,3,61,0.35,5,76,0.48,9,57,0.4,8,76,0.55,5,51
,,,,,’g–[•‰‰×,0.52,-36,-62,0.53,-26,-52,0.54,-20,-36,0.57,-10,-36,0.55,-11,-29,0.52,-10,-10,0.57,-9,-20,0.51,-8,-8
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.38,80,0,0.4,75,0,0.4,67,0,0.41,68,0,0.39,64,0,0.42,65,0,0.43,66,0,0.45,59,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,19,0,0,21,0,0,14,0,0,24,0,0,41,0,0,36,0,0,48,-0.08,2,38
,,,,,’g–[•‰‰×,0.5,-125,-153,0.49,-122,-150,0.47,-132,-155,0.47,-128,-156,0.47,-113,-147,0.48,-93,-123,0.48,-74,-108,0.49,-29,-60
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.42,84,0,0.42,76,0,0.39,91,0,0.38,109,0,0.42,107,0,0.41,92,0,0.41,100,0,0.39,69,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,38,0,0,33,0,0,28,0,0,39,0,0,33,0,0,51,0,0,51,0,0,67
,,,,,’g–[•‰‰×,0.51,-64,-95,0.48,-69,-93,0.5,-73,-96,0.52,-59,-88,0.53,-43,-61,0.52,-37,-70,0.51,-54,-87,0.52,-20,-63
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.41,74,0,0.38,83,0,0.37,89,0,0.39,87,0,0.41,80,0,0.4,86,0,0.44,89,0,0.42,72,0
ˆùH“X“™,ƒƒr[,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,-0.19,0,38,0,0,137,-0.02,0,116,0.12,7,129,0.46,13,218,0.68,11,91,0.57,12,102,0.77,5,81
,,,,,’g–[•‰‰×,0.73,-22,-76,0.74,-17,-114,0.74,-12,-94,0.77,-6,-75,0.75,-8,-129,0.7,-10,-10,0.75,-7,-7,0.71,-6,-6
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.69,52,0,0.65,76,0,0.65,64,0,0.65,67,0,0.65,59,0,0.71,41,0,0.67,68,0,0.73,37,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,67,0,0,62,0,0,61,0,0,72,0,0,104,0,0,86,0,0,113,-0.69,7,8
,,,,,’g–[•‰‰×,0.73,-81,-144,0.73,-78,-133,0.71,-85,-142,0.71,-83,-145,0.7,-75,-154,0.71,-61,-126,0.71,-49,-130,0.71,-20,-104
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.71,58,0,0.67,76,0,0.64,90,0,0.63,105,0,0.66,116,0,0.71,62,0,0.66,101,0,0.7,44,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,83,0,0,90,0,0,84,0,0,93,0,0,91,0,0,116,0,0,117,-0.01,0,188
,,,,,’g–[•‰‰×,0.73,-42,-101,0.71,-46,-110,0.72,-47,-111,0.73,-40,-107,0.74,-29,-88,0.73,-26,-105,0.73,-36,-117,0.73,-13,-157
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.71,48,0,0.64,78,0,0.63,85,0,0.64,86,0,0.66,82,0,0.7,58,0,0.67,96,0,0.72,47,0
ˆùH“X“™,Ž––±Žº,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,-0.19,0,73,0,0,189,-0.02,0,178,0.12,7,141,0.46,13,79,0.68,11,81,0.57,12,93,0.77,5,73
,,,,,’g–[•‰‰×,0.73,-22,-119,0.74,-17,-174,0.74,-12,-163,0.77,-6,-95,0.75,-8,-8,0.7,-10,-10,0.75,-7,-7,0.71,-6,-6
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.69,52,0,0.65,76,0,0.65,64,0,0.65,67,0,0.65,59,0,0.71,41,0,0.67,68,0,0.73,37,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,80,0,0,76,0,0,79,0,0,92,0,0,129,0,0,106,0,0,140,-0.69,7,7
,,,,,’g–[•‰‰×,0.73,-81,-164,0.73,-78,-155,0.71,-85,-168,0.71,-83,-173,0.7,-75,-187,0.71,-61,-153,0.71,-49,-165,0.71,-20,-20
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.71,58,0,0.67,76,0,0.64,90,0,0.63,105,0,0.66,116,0,0.71,62,0,0.66,101,0,0.7,44,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,104,0,0,120,0,0,108,0,0,124,0,0,100,0,0,148,0,0,143,-0.01,0,36
,,,,,’g–[•‰‰×,0.73,-42,-129,0.71,-46,-148,0.72,-47,-143,0.73,-40,-145,0.74,-29,-105,0.73,-26,-144,0.73,-36,-151,0.73,-13,-13
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.71,48,0,0.64,78,0,0.63,85,0,0.64,86,0,0.66,82,0,0.7,58,0,0.67,96,0,0.72,47,0
ˆùH“X“™,‘qŒÉ,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,-0.19,0,23,0,0,93,-0.02,0,75,0.12,7,106,0.46,13,145,0.68,11,214,0.57,12,150,0.77,5,65
,,,,,’g–[•‰‰×,0.73,-22,-75,0.74,-17,-85,0.74,-12,-66,0.77,-6,-66,0.75,-8,-72,0.7,-10,-150,0.75,-7,-67,0.71,-6,-6
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.69,52,0,0.65,76,0,0.65,64,0,0.65,67,0,0.65,59,0,0.71,41,0,0.67,68,0,0.73,37,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,57,0,0,50,0,0,48,0,0,59,0,0,87,0,0,67,0,0,83,-0.69,7,7
,,,,,’g–[•‰‰×,0.73,-81,-149,0.73,-78,-136,0.71,-85,-143,0.71,-83,-145,0.7,-75,-151,0.71,-61,-120,0.71,-49,-113,0.71,-20,-68
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.71,58,0,0.67,76,0,0.64,90,0,0.63,105,0,0.66,116,0,0.71,62,0,0.66,101,0,0.7,44,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,65,0,0,65,0,0,62,0,0,70,0,0,69,0,0,85,0,0,86,-0.01,0,110
,,,,,’g–[•‰‰×,0.73,-42,-97,0.71,-46,-99,0.72,-47,-103,0.73,-40,-97,0.74,-29,-80,0.73,-26,-87,0.73,-36,-100,0.73,-13,-93
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.71,48,0,0.64,78,0,0.63,85,0,0.64,86,0,0.66,82,0,0.7,58,0,0.67,96,0,0.72,47,0
W‰ïŠ“™,ƒAƒXƒŒƒ`ƒbƒN,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,-0.51,-3,115,0,0,371,0.01,1,39,0.12,7,61,0.46,13,87,0.69,12,92,0.54,13,98,0.8,5,79
,,,,,’g–[•‰‰×,0.76,-25,-243,0.77,-18,-349,0.75,-15,-15,0.8,-6,-6,0.76,-10,-10,0.71,-9,-9,0.77,-7,-7,0.73,-6,-6
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.68,65,0,0.66,82,0,0.67,67,0,0.65,76,0,0.66,65,0,0.72,48,0,0.67,74,0,0.75,43,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,112,0,0,112,0,0,130,0,0,134,0,0,210,0,0,171,0,0,220,-0.69,7,7
,,,,,’g–[•‰‰×,0.74,-95,-207,0.74,-90,-201,0.72,-98,-223,0.72,-96,-220,0.71,-91,-276,0.73,-71,-220,0.73,-56,-244,0.72,-23,-23
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.73,62,0,0.68,84,0,0.64,105,0,0.64,117,0,0.66,128,0,0.72,73,0,0.67,111,0,0.71,51,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,139,0,0,184,0,0,162,0,0,185,0,0,128,0,0,210,0,0,130,-0.05,0,40
,,,,,’g–[•‰‰×,0.75,-46,-161,0.72,-53,-212,0.74,-52,-194,0.74,-47,-206,0.75,-35,-131,0.74,-30,-204,0.74,-43,-137,0.73,-17,-17
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.71,59,0,0.63,89,0,0.63,93,0,0.65,94,0,0.68,86,0,0.72,63,0,0.67,105,0,0.73,54,0
,,‘O“ú‹x‚Ý,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,-0.09,-1,296,0,0,248,0,0,397,-0.32,1,259,0.29,6,400,0.78,14,71,1.23,7,547,1.08,4,58
,,,,,’g–[•‰‰×,0.95,-42,-356,1.02,-38,-276,0.97,-44,-424,1.04,-18,-312,1.02,-25,-370,0.92,-39,-39,0.98,-27,-418,0.92,-16,-16
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.87,139,0,0.83,126,0,0.8,141,0,0.83,128,0,0.76,148,0,0.95,93,0,0.8,149,0,0.96,76,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,105,0,0,127,0,0,125,0,0,148,0,0,160,0,0,232,0,0,326,0,0,9
,,,,,’g–[•‰‰×,1.03,-200,-360,0.94,-247,-425,0.93,-244,-419,0.91,-265,-455,0.99,-187,-371,0.85,-228,-485,0.91,-131,-454,0.92,-50,-50
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.8,177,0,0.74,210,0,0.76,233,0,0.6,307,0,0.85,298,0,0.85,202,0,0.76,243,0,0.74,134,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,199,0,0,200,0,0,117,0,0,226,0,0,242,0,0,348,0,0,326,0,0,21
,,,,,’g–[•‰‰×,0.99,-107,-314,0.91,-105,-313,0.97,-102,-230,0.99,-87,-317,1,-62,-297,1,-72,-404,0.93,-93,-409,1,-25,-25
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.92,83,0,0.92,136,0,0.75,194,0,0.81,164,0,0.76,190,0,0.84,145,0,0.8,214,0,0.86,150,0
W‰ïŠ“™,ƒƒr[ƒAƒXƒŒƒ`ƒbƒN,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,-0.63,-3,-3,0,0,128,-0.01,0,96,0.12,7,123,0.47,14,204,0.69,12,269,0.54,13,235,0.81,5,72
,,,,,’g–[•‰‰×,0.78,-24,-74,0.79,-17,-111,0.77,-14,-81,0.81,-7,-75,0.77,-11,-125,0.7,-13,-198,0.79,-8,-142,0.74,-7,-7
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.7,62,0,0.68,80,0,0.69,66,0,0.67,75,0,0.68,63,0,0.74,46,0,0.69,73,0,0.76,41,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,64,0,0,55,0,0,62,0,0,69,0,0,108,0,0,83,0,0,106,-0.67,8,8
,,,,,’g–[•‰‰×,0.76,-88,-159,0.76,-83,-145,0.75,-91,-155,0.74,-90,-155,0.73,-85,-174,0.75,-66,-134,0.75,-52,-133,0.74,-22,-107
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.75,60,0,0.7,82,0,0.66,103,0,0.66,115,0,0.68,126,0,0.73,70,0,0.68,109,0,0.72,50,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,71,0,0,86,0,0,77,0,0,88,0,0,86,0,0,124,0,0,108,-0.14,-1,143
,,,,,’g–[•‰‰×,0.77,-43,-97,0.74,-50,-118,0.77,-49,-113,0.76,-44,-113,0.77,-33,-93,0.76,-28,-122,0.76,-40,-118,0.75,-16,-138
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.73,56,0,0.65,87,0,0.65,91,0,0.67,92,0,0.7,84,0,0.74,61,0,0.69,103,0,0.74,52,0
,,‘O“ú‹x‚Ý,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,-0.12,-2,95,0,0,116,0,0,203,-0.36,2,106,0.3,7,179,0.8,15,287,1.25,8,309,1.1,5,67
,,,,,’g–[•‰‰×,0.99,-41,-159,1.06,-38,-137,1,-45,-224,1.07,-19,-159,1.05,-26,-143,0.95,-42,-240,1.02,-28,-187,0.96,-17,-17
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.91,141,0,0.86,126,0,0.83,143,0,0.86,130,0,0.79,151,0,0.98,94,0,0.83,152,0,0.99,76,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,65,0,0,62,0,0,47,0,0,65,0,0,75,0,0,108,0,0,187,0,0,185
,,,,,’g–[•‰‰×,1.08,-198,-310,0.98,-247,-353,0.97,-244,-331,0.95,-266,-363,1.04,-183,-271,0.89,-230,-352,0.95,-129,-306,0.96,-49,-217
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.82,181,0,0.76,215,0,0.79,239,0,0.62,316,0,0.89,304,0,0.88,208,0,0.78,248,0,0.76,137,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,122,0,0,73,0,0,66,0,0,112,0,0,128,0,0,197,0,0,181,0,0,197
,,,,,’g–[•‰‰×,1.03,-107,-232,0.95,-105,-178,1.01,-101,-172,1.03,-85,-194,1.05,-61,-176,1.04,-73,-247,0.97,-93,-257,1.03,-25,-194
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.95,83,0,0.95,138,0,0.78,197,0,0.84,166,0,0.78,195,0,0.87,147,0,0.82,220,0,0.89,153,0
W‰ïŠ“™,‘ÌˆçŠÙ,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,-0.25,-1,433,0,0,85,-0.03,0,78,0.12,8,106,0.42,14,139,0.64,13,142,0.53,13,158,0.75,6,132
,,,,,’g–[•‰‰×,0.73,-25,-445,0.74,-18,-18,0.74,-14,-14,0.77,-8,-8,0.73,-12,-12,0.67,-15,-15,0.74,-11,-11,0.69,-7,-7
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.69,56,0,0.65,80,0,0.65,67,0,0.65,69,0,0.65,60,0,0.72,42,0,0.67,70,0,0.74,39,0
